iter	Passed	Remaining
0	144	144038
1	145	72847
2	147	49097
3	149	37148
4	150	29994
5	152	25253
6	153	21841
7	155	19340
8	157	17371
9	159	15763
10	160	14455
11	162	13357
12	163	12432
13	165	11641
14	166	10946
15	168	10340
16	170	9850
17	172	9388
18	173	8970
19	175	8605
20	177	8293
21	183	8135
22	188	7996
23	189	7717
24	191	7462
25	192	7224
26	194	7011
27	196	6808
28	199	6671
29	201	6523
30	203	6359
31	204	6201
32	206	6050
33	207	5908
34	209	5774
35	210	5648
36	212	5538
37	214	5430
38	216	5333
39	217	5229
40	219	5134
41	221	5042
42	222	4954
43	224	4870
44	226	4799
45	227	4725
46	229	4650
47	230	4580
48	232	4517
49	234	4455
50	236	4391
51	237	4330
52	239	4273
53	247	4337
54	249	4283
55	250	4229
56	252	4175
57	253	4121
58	255	4074
59	257	4029
60	258	3984
61	260	3938
62	261	3894
63	263	3852
64	264	3810
65	266	3770
66	267	3730
67	269	3695
68	271	3667
69	273	3629
70	274	3596
71	276	3563
72	278	3531
73	279	3499
74	281	3467
75	282	3436
76	284	3409
77	286	3385
78	287	3355
79	289	3329
80	291	3303
81	292	3276
82	293	3244
83	295	3221
84	297	3197
85	298	3173
86	300	3150
87	302	3130
88	303	3107
89	305	3086
90	306	3064
91	308	3041
92	309	3020
93	311	2997
94	312	2976
95	314	2959
96	316	2941
97	317	2922
98	319	2904
99	320	2887
100	322	2868
101	323	2849
102	325	2831
103	326	2814
104	328	2798
105	330	2786
106	331	2770
107	333	2753
108	334	2736
109	336	2720
110	337	2705
111	339	2689
112	340	2673
113	341	2657
114	343	2646
115	345	2632
116	346	2617
117	348	2604
118	349	2590
119	351	2578
120	353	2565
121	354	2550
122	355	2538
123	357	2528
124	360	2521
125	361	2510
126	363	2497
127	364	2486
128	366	2476
129	368	2465
130	370	2455
131	371	2444
132	373	2437
133	375	2426
134	377	2415
135	378	2405
136	380	2394
137	381	2384
138	383	2374
139	385	2365
140	386	2355
141	388	2345
142	390	2338
143	391	2329
144	393	2320
145	395	2310
146	396	2301
147	397	2290
148	399	2282
149	401	2273
150	403	2266
151	404	2257
152	406	2248
153	407	2240
154	409	2232
155	411	2224
156	412	2216
157	414	2207
158	415	2200
159	418	2194
160	419	2184
161	420	2176
162	422	2169
163	424	2161
164	425	2154
165	427	2146
166	428	2139
167	430	2131
168	431	2123
169	433	2117
170	435	2112
171	437	2105
172	439	2099
173	440	2092
174	442	2085
175	444	2079
176	446	2074
177	447	2068
178	449	2062
179	451	2055
180	453	2050
181	454	2044
182	456	2038
183	457	2031
184	459	2024
185	461	2020
186	463	2014
187	464	2008
188	466	2001
189	468	1995
190	469	1990
191	471	1985
192	473	1980
193	475	1976
194	477	1971
195	479	1968
196	481	1963
197	483	1959
198	485	1953
199	486	1947
200	488	1943
201	491	1942
202	493	1936
203	494	1931
204	496	1925
205	498	1920
206	500	1917
207	502	1911
208	503	1907
209	506	1906
210	508	1902
211	510	1898
212	515	1906
213	520	1910
214	523	1912
215	526	1912
216	530	1914
217	532	1910
218	540	1927
219	548	1945
220	553	1950
221	555	1946
222	557	1942
223	559	1939
224	563	1941
225	571	1956
226	574	1957
227	577	1956
228	580	1955
229	582	1951
230	584	1945
231	585	1939
232	587	1934
233	589	1928
234	590	1923
235	592	1917
236	593	1911
237	595	1908
238	598	1904
239	600	1900
240	601	1894
241	603	1889
242	604	1884
243	606	1879
244	608	1874
245	609	1869
246	612	1867
247	614	1863
248	615	1857
249	617	1852
250	619	1847
251	620	1843
252	622	1838
253	625	1837
254	627	1832
255	629	1828
256	631	1824
257	632	1819
258	634	1815
259	636	1810
260	637	1805
261	639	1802
262	641	1798
263	643	1793
264	644	1788
265	646	1783
266	648	1779
267	649	1773
268	651	1769
269	652	1764
270	654	1760
271	656	1756
272	658	1752
273	659	1748
274	661	1743
275	663	1739
276	664	1735
277	666	1731
278	668	1727
279	670	1723
280	671	1719
281	673	1715
282	675	1711
283	678	1711
284	680	1706
285	681	1701
286	683	1697
287	685	1693
288	686	1689
289	688	1685
290	689	1680
291	691	1677
292	693	1672
